"DOC_ID","depth","Site","treatment","class","abund","total","relabund"
"DOC-001","0-5cm","CPCRW","drought","aliphatic",2341,7730,30.28
"DOC-001","0-5cm","CPCRW","drought","aromatic",1054,7730,13.64
"DOC-001","0-5cm","CPCRW","drought","condensed_arom",281,7730,3.64
"DOC-001","0-5cm","CPCRW","drought","unsaturated/lignin",4054,7730,52.45
"DOC-002","0-5cm","CPCRW","drought","aliphatic",2401,8101,29.64
"DOC-002","0-5cm","CPCRW","drought","aromatic",1067,8101,13.17
"DOC-002","0-5cm","CPCRW","drought","condensed_arom",284,8101,3.51
"DOC-002","0-5cm","CPCRW","drought","unsaturated/lignin",4349,8101,53.68
"DOC-003","0-5cm","CPCRW","drought","aliphatic",2427,8101,29.96
"DOC-003","0-5cm","CPCRW","drought","aromatic",1065,8101,13.15
"DOC-003","0-5cm","CPCRW","drought","condensed_arom",281,8101,3.47
"DOC-003","0-5cm","CPCRW","drought","unsaturated/lignin",4328,8101,53.43
"DOC-009","0-5cm","CPCRW","drought","aliphatic",2434,8020,30.35
"DOC-009","0-5cm","CPCRW","drought","aromatic",1021,8020,12.73
"DOC-009","0-5cm","CPCRW","drought","condensed_arom",257,8020,3.2
"DOC-009","0-5cm","CPCRW","drought","unsaturated/lignin",4308,8020,53.72
"DOC-037","5cm-end","CPCRW","drought","aliphatic",2294,7776,29.5
"DOC-037","5cm-end","CPCRW","drought","aromatic",1197,7776,15.39
"DOC-037","5cm-end","CPCRW","drought","condensed_arom",360,7776,4.63
"DOC-037","5cm-end","CPCRW","drought","unsaturated/lignin",3925,7776,50.48
"DOC-038","5cm-end","CPCRW","drought","aliphatic",2287,8036,28.46
"DOC-038","5cm-end","CPCRW","drought","aromatic",1214,8036,15.11
"DOC-038","5cm-end","CPCRW","drought","condensed_arom",367,8036,4.57
"DOC-038","5cm-end","CPCRW","drought","unsaturated/lignin",4168,8036,51.87
"DOC-039","5cm-end","CPCRW","drought","aliphatic",815,2268,35.93
"DOC-039","5cm-end","CPCRW","drought","aromatic",360,2268,15.87
"DOC-039","5cm-end","CPCRW","drought","condensed_arom",90,2268,3.97
"DOC-039","5cm-end","CPCRW","drought","unsaturated/lignin",1003,2268,44.22
"DOC-043","5cm-end","CPCRW","drought","aliphatic",2278,7972,28.58
"DOC-043","5cm-end","CPCRW","drought","aromatic",1166,7972,14.63
"DOC-043","5cm-end","CPCRW","drought","condensed_arom",338,7972,4.24
"DOC-043","5cm-end","CPCRW","drought","unsaturated/lignin",4190,7972,52.56
"DOC-044","5cm-end","CPCRW","drought","aliphatic",2182,7914,27.57
"DOC-044","5cm-end","CPCRW","drought","aromatic",1186,7914,14.99
"DOC-044","5cm-end","CPCRW","drought","condensed_arom",347,7914,4.38
"DOC-044","5cm-end","CPCRW","drought","unsaturated/lignin",4199,7914,53.06
"DOC-045","5cm-end","CPCRW","drought","aliphatic",2296,8080,28.42
"DOC-045","5cm-end","CPCRW","drought","aromatic",1206,8080,14.93
"DOC-045","5cm-end","CPCRW","drought","condensed_arom",354,8080,4.38
"DOC-045","5cm-end","CPCRW","drought","unsaturated/lignin",4224,8080,52.28
"DOC-073","0-5cm","SR","drought","aliphatic",2264,7182,31.52
"DOC-073","0-5cm","SR","drought","aromatic",822,7182,11.45
"DOC-073","0-5cm","SR","drought","condensed_arom",177,7182,2.46
"DOC-073","0-5cm","SR","drought","unsaturated/lignin",3919,7182,54.57
"DOC-074","0-5cm","SR","drought","aliphatic",2595,7601,34.14
"DOC-074","0-5cm","SR","drought","aromatic",831,7601,10.93
"DOC-074","0-5cm","SR","drought","condensed_arom",183,7601,2.41
"DOC-074","0-5cm","SR","drought","unsaturated/lignin",3992,7601,52.52
"DOC-075","0-5cm","SR","drought","aliphatic",2511,7483,33.56
"DOC-075","0-5cm","SR","drought","aromatic",817,7483,10.92
"DOC-075","0-5cm","SR","drought","condensed_arom",177,7483,2.37
"DOC-075","0-5cm","SR","drought","unsaturated/lignin",3978,7483,53.16
"DOC-079","0-5cm","SR","drought","aliphatic",2522,7322,34.44
"DOC-079","0-5cm","SR","drought","aromatic",809,7322,11.05
"DOC-079","0-5cm","SR","drought","condensed_arom",184,7322,2.51
"DOC-079","0-5cm","SR","drought","unsaturated/lignin",3807,7322,51.99
"DOC-080","0-5cm","SR","drought","aliphatic",2580,7190,35.88
"DOC-080","0-5cm","SR","drought","aromatic",698,7190,9.71
"DOC-080","0-5cm","SR","drought","condensed_arom",140,7190,1.95
"DOC-080","0-5cm","SR","drought","unsaturated/lignin",3772,7190,52.46
"DOC-081","0-5cm","SR","drought","aliphatic",2496,6943,35.95
"DOC-081","0-5cm","SR","drought","aromatic",710,6943,10.23
"DOC-081","0-5cm","SR","drought","condensed_arom",174,6943,2.51
"DOC-081","0-5cm","SR","drought","unsaturated/lignin",3563,6943,51.32
"DOC-107","5cm-end","SR","drought","aliphatic",1913,7863,24.33
"DOC-107","5cm-end","SR","drought","aromatic",1295,7863,16.47
"DOC-107","5cm-end","SR","drought","condensed_arom",463,7863,5.89
"DOC-107","5cm-end","SR","drought","unsaturated/lignin",4192,7863,53.31
"DOC-108","5cm-end","SR","drought","aliphatic",1804,7397,24.39
"DOC-108","5cm-end","SR","drought","aromatic",1228,7397,16.6
"DOC-108","5cm-end","SR","drought","condensed_arom",438,7397,5.92
"DOC-108","5cm-end","SR","drought","unsaturated/lignin",3927,7397,53.09
"DOC-109","5cm-end","SR","drought","aliphatic",1805,7801,23.14
"DOC-109","5cm-end","SR","drought","aromatic",1283,7801,16.45
"DOC-109","5cm-end","SR","drought","condensed_arom",460,7801,5.9
"DOC-109","5cm-end","SR","drought","unsaturated/lignin",4253,7801,54.52
"DOC-113","5cm-end","SR","drought","aliphatic",1898,7881,24.08
"DOC-113","5cm-end","SR","drought","aromatic",1237,7881,15.7
"DOC-113","5cm-end","SR","drought","condensed_arom",403,7881,5.11
"DOC-113","5cm-end","SR","drought","unsaturated/lignin",4343,7881,55.11
"DOC-114","5cm-end","SR","drought","aliphatic",1896,7976,23.77
